,GameID,TeamAbbreviation
316,60807,SP
317,60807,SP
318,60807,SP
319,60807,SP
320,60808,SBE
321,60808,SBE
322,60808,SBE
323,60808,SBE
324,60808,SBE
325,60808,SP
326,60808,SP
327,60808,SP
328,60808,SP
329,60808,SP
330,60801,BRN
331,60801,BRN
332,60801,BRN
333,60801,BRN
334,60801,BRN
335,60801,SHB
336,60801,SHB
337,60801,SHB
338,60801,SHB
339,60801,SHB
340,60802,BRN
341,60802,BRN
342,60802,BRN
343,60802,BRN
344,60802,BRN
345,60802,SHB
346,60802,SHB
347,60802,SHB
348,60802,SHB
349,60802,SHB
350,60789,CES
351,60789,CES
352,60789,CES
353,60789,CES
354,60789,CES
355,60789,W
356,60789,W
357,60789,W
358,60789,W
359,60789,W
360,60790,CES
361,60790,CES
362,60790,CES
363,60790,CES
364,60790,CES
365,60790,W
366,60790,W
367,60790,W
368,60790,W
369,60790,W
370,60805,SBE
371,60805,SBE
372,60805,SBE
373,60805,SBE
374,60805,SBE
375,60805,DXG
376,60805,DXG
377,60805,DXG
378,60805,DXG
379,60805,DXG
380,60806,SBE
381,60806,SBE
382,60806,SBE
383,60806,SBE
384,60806,SBE
385,60806,DXG
386,60806,DXG
387,60806,DXG
388,60806,DXG
389,60806,DXG
390,60775,BME
391,60775,BME
392,60775,BME
393,60775,BME
394,60775,BME
395,60775,GFS
396,60775,GFS
397,60775,GFS
398,60775,GFS
399,60775,GFS
400,60776,BME
401,60776,BME
402,60776,BME
403,60776,BME
404,60776,BME
405,60776,GFS
406,60776,GFS
407,60776,GFS
408,60776,GFS
409,60776,GFS
410,60687,LG
411,60687,LG
412,60687,LG
413,60687,LG
414,60687,LG
415,60687,ex-FB
416,60687,ex-FB
417,60687,ex-FB
418,60687,ex-FB
419,60687,ex-FB
420,60688,LG
421,60688,LG
422,60688,LG
423,60688,LG
424,60688,LG
425,60688,ex-FB
426,60688,ex-FB
427,60688,ex-FB
428,60688,ex-FB
429,60688,ex-FB
430,60689,LG
431,60689,LG
432,60689,LG
433,60689,LG
434,60689,LG
435,60689,ex-FB
436,60689,ex-FB
437,60689,ex-FB
438,60689,ex-FB
439,60689,ex-FB
440,60681,RNG
441,60681,RNG
442,60681,RNG
443,60681,RNG
444,60681,RNG
445,60681,LG
446,60681,LG
447,60681,LG
448,60681,LG
449,60681,LG
450,60682,RNG
451,60682,RNG
452,60682,RNG
453,60682,RNG
454,60682,RNG
455,60682,LG
456,60682,LG
457,60682,LG
458,60682,LG
459,60682,LG
460,60683,RNG
461,60683,RNG
462,60683,RNG
463,60683,RNG
464,60683,RNG
465,60683,LG
466,60683,LG
467,60683,LG
468,60683,LG
469,60683,LG
470,60684,ex-FB
471,60684,ex-FB
472,60684,ex-FB
473,60684,ex-FB
474,60684,ex-FB
475,60684,PK.A
476,60684,PK.A
477,60684,PK.A
478,60684,PK.A
479,60684,PK.A
480,60685,ex-FB
481,60685,ex-FB
482,60685,ex-FB
483,60685,ex-FB
484,60685,ex-FB
485,60685,PK.A
486,60685,PK.A
487,60685,PK.A
488,60685,PK.A
489,60685,PK.A
490,60686,ex-FB
491,60686,ex-FB
492,60686,ex-FB
493,60686,ex-FB
494,60686,ex-FB
495,60686,PK.A
496,60686,PK.A
497,60686,PK.A
498,60686,PK.A
499,60686,PK.A
500,60669,RAD
501,60669,RAD
502,60669,RAD
503,60669,RAD
504,60669,RAD
505,60669,RNG
506,60669,RNG
507,60669,RNG
508,60669,RNG
509,60669,RNG
510,60670,RAD
511,60670,RAD
512,60670,RAD
513,60670,RAD
514,60670,RAD
515,60670,RNG
516,60670,RNG
517,60670,RNG
518,60670,RNG
519,60670,RNG
520,60671,RAD
521,60671,RAD
522,60671,RAD
523,60671,RAD
524,60671,RAD
525,60671,RNG
526,60671,RNG
527,60671,RNG
528,60671,RNG
529,60671,RNG
530,60675,ex-FB
531,60675,ex-FB
532,60675,ex-FB
533,60675,ex-FB
534,60675,ex-FB
535,60675,TI
536,60675,TI
537,60675,TI
538,60675,TI
539,60675,TI
540,60676,ex-FB
541,60676,ex-FB
542,60676,ex-FB
543,60676,ex-FB
544,60676,ex-FB
545,60676,TI
546,60676,TI
547,60676,TI
548,60676,TI
549,60676,TI
550,60677,ex-FB
551,60677,ex-FB
552,60677,ex-FB
553,60677,ex-FB
554,60677,ex-FB
555,60677,TI
556,60677,TI
557,60677,TI
558,60677,TI
559,60677,TI
560,58578,NASR
561,58578,NASR
562,58578,NASR
563,58578,NASR
564,58578,NASR
565,58578,RAAD
566,58578,RAAD
567,58578,RAAD
568,58578,RAAD
569,58578,RAAD
570,58579,NASR
571,58579,NASR
572,58579,NASR
573,58579,NASR
574,58579,NASR
575,58579,RAAD
576,58579,RAAD
577,58579,RAAD
578,58579,RAAD
579,58579,RAAD
580,58580,NASR
581,58580,NASR
582,58580,NASR
583,58580,NASR
584,58580,NASR
585,58580,RAAD
586,58580,RAAD
587,58580,RAAD
588,58580,RAAD
589,58580,RAAD
590,58581,NASR
591,58581,NASR
592,58581,NASR
593,58581,NASR
594,58581,NASR
595,58581,RAAD
596,58581,RAAD
597,58581,RAAD
598,58581,RAAD
599,58581,RAAD
600,60645,RAD
601,60645,RAD
602,60645,RAD
603,60645,RAD
604,60645,RAD
605,60645,Icar
606,60645,Icar
607,60645,Icar
608,60645,Icar
609,60645,Icar
610,60646,RAD
611,60646,RAD
612,60646,RAD
613,60646,RAD
614,60646,RAD
615,60646,Icar
616,60646,Icar
617,60646,Icar
618,60646,Icar
619,60646,Icar
620,60648,TB
621,60648,TB
622,60648,TB
623,60648,TB
624,60648,TB
625,60648,RNG
626,60648,RNG
627,60648,RNG
628,60648,RNG
629,60648,RNG
630,60649,TB
631,60649,TB
632,60649,TB
633,60649,TB
634,60649,TB
635,60649,RNG
636,60649,RNG
637,60649,RNG
638,60649,RNG
639,60649,RNG
640,60650,TB
641,60650,TB
642,60650,TB
643,60650,TB
644,60650,TB
645,60650,RNG
646,60650,RNG
647,60650,RNG
648,60650,RNG
649,60650,RNG
650,60651,PK
651,60651,PK
652,60651,PK
653,60651,PK
654,60651,PK
655,60651,LT
656,60651,LT
657,60651,LT
658,60651,LT
659,60651,LT
660,60652,PK
661,60652,PK
662,60652,PK
663,60652,PK
664,60652,PK
665,60652,LT
666,60652,LT
667,60652,LT
668,60652,LT
669,60652,LT
670,60654,LG
671,60654,LG
672,60654,LG
673,60654,LG
674,60654,LG
675,60654,Pho
676,60654,Pho
677,60654,Pho
678,60654,Pho
679,60654,Pho
680,60655,LG
681,60655,LG
682,60655,LG
683,60655,LG
684,60655,LG
685,60655,Pho
686,60655,Pho
687,60655,Pho
688,60655,Pho
689,60655,Pho
690,60657,ex-FB
691,60657,ex-FB
692,60657,ex-FB
693,60657,ex-FB
694,60657,ex-FB
695,60657,Gift
696,60657,Gift
697,60657,Gift
698,60657,Gift
699,60657,Gift
700,60658,ex-FB
701,60658,ex-FB
702,60658,ex-FB
703,60658,ex-FB
704,60658,ex-FB
705,60658,Gift
706,60658,Gift
707,60658,Gift
708,60658,Gift
709,60658,Gift
710,60666,PK.A
711,60666,PK.A
712,60666,PK.A
713,60666,PK.A
714,60666,PK.A
715,60666,C9A
716,60666,C9A
717,60666,C9A
718,60666,C9A
719,60666,C9A
720,60667,PK.A
721,60667,PK.A
722,60667,PK.A
723,60667,PK.A
724,60667,PK.A
725,60667,C9A
726,60667,C9A
727,60667,C9A
728,60667,C9A
729,60667,C9A
730,60723,LG
731,60723,LG
732,60723,LG
733,60723,LG
734,60723,LG
735,60723,Gift
736,60723,Gift
737,60723,Gift
738,60723,Gift
739,60723,Gift
740,60729,PK
741,60729,PK
742,60729,PK
743,60729,PK
744,60729,PK
745,60729,Ex-D
746,60729,Ex-D
747,60729,Ex-D
748,60729,Ex-D
749,60729,Ex-D
750,60734,ex-FB
751,60734,ex-FB
752,60734,ex-FB
753,60734,ex-FB
754,60734,ex-FB
755,60734,Pho
756,60734,Pho
757,60734,Pho
758,60734,Pho
759,60734,Pho
760,60736,PK.A
761,60736,PK.A
762,60736,PK.A
763,60736,PK.A
764,60736,PK.A
765,60736,Mina
766,60736,Mina
767,60736,Mina
768,60736,Mina
769,60736,Mina
770,60709,RAD
771,60709,RAD
772,60709,RAD
773,60709,RAD
774,60709,RAD
775,60709,LT
776,60709,LT
777,60709,LT
778,60709,LT
779,60709,LT
780,60710,TB
781,60710,TB
782,60710,TB
783,60710,TB
784,60710,TB
785,60710,BA
786,60710,BA
787,60710,BA
788,60710,BA
789,60710,BA
790,60718,ex-FB
791,60718,ex-FB
792,60718,ex-FB
793,60718,ex-FB
794,60718,ex-FB
795,60718,YFP
796,60718,YFP
797,60718,YFP
798,60718,YFP
799,60718,YFP
800,60720,PK.A
801,60720,PK.A
802,60720,PK.A
803,60720,PK.A
804,60720,PK.A
805,60720,TI
806,60720,TI
807,60720,TI
808,60720,TI
809,60720,TI
810,60704,PK.A
811,60704,PK.A
812,60704,PK.A
813,60704,PK.A
814,60704,PK.A
815,60704,Hugh
816,60704,Hugh
817,60704,Hugh
818,60704,Hugh
819,60704,Hugh
820,60592,Akre
821,60592,Akre
822,60592,Akre
823,60592,Akre
824,60592,Akre
825,60592,ex-FB
826,60592,ex-FB
827,60592,ex-FB
828,60592,ex-FB
829,60592,ex-FB
830,60593,Akre
831,60593,Akre
832,60593,Akre
833,60593,Akre
834,60593,Akre
835,60593,ex-FB
836,60593,ex-FB
837,60593,ex-FB
838,60593,ex-FB
839,60593,ex-FB
840,60595,Neme
841,60595,Neme
842,60595,Neme
843,60595,Neme
844,60595,Neme
845,60595,VRT
846,60595,VRT
847,60595,VRT
848,60595,VRT
849,60595,VRT
850,60596,Neme
851,60596,Neme
852,60596,Neme
853,60596,Neme
854,60596,Neme
855,60596,VRT
856,60596,VRT
857,60596,VRT
858,60596,VRT
859,60596,VRT
860,60597,Neme
861,60597,Neme
862,60597,Neme
863,60597,Neme
864,60597,Neme
865,60597,VRT
866,60597,VRT
867,60597,VRT
868,60597,VRT
869,60597,VRT
870,60586,Akre
871,60586,Akre
872,60586,Akre
873,60586,Akre
874,60586,Akre
875,60586,Neme
876,60586,Neme
877,60586,Neme
878,60586,Neme
879,60586,Neme
880,60587,Akre
881,60587,Akre
882,60587,Akre
883,60587,Akre
884,60587,Akre
885,60587,Neme
886,60587,Neme
887,60587,Neme
888,60587,Neme
889,60587,Neme
890,60574,Akre
891,60574,Akre
892,60574,Akre
893,60574,Akre
894,60574,Akre
895,60574,C9A
896,60574,C9A
